Product_ID,Label,P0,P1,P2,P3,Combo,Category,Short_name,Price_range,Range_width,Increment
1,Special Bone-in Chicken (original),0,15,17,19,0,Fried Chicken,Special Bone-in Chicken (original),"[15,19]",5,1
2,Special Bone-in Chicken (spicy),0,15,17,19,0,Fried Chicken,Special Bone-in Chicken (spicy),"[15,19]",5,1
3,Devil's Claw Chicken Steak,0,15,17,19,0,Fried Chicken,Devils Claw Chicken Steak,"[15,19]",5,1
4,Cheese Chicken Tenders,0,14,15,18,0,Fried Chicken,Cheese Chicken Tenders,"[14,18]",5,1
5,Cheese Popcorn Chicken,0,15,16,19,0,Fried Chicken,Cheese Popcorn Chicken,"[15,19]",5,1
6,Cajun Spicy Wings,0,13,14,17,0,Fried Chicken,Cajun Spicy Wings,"[13,17]",5,1
7,Crispy Fried Chicken,0,12,13,16,0,Fried Chicken,Crispy Fried Chicken,"[12,16]",5,1
8,Rolled Chicken Tenders,0,12,13,16,0,Fried Chicken,Rolled Chicken Tenders,"[12,16]",5,1
9,Bone-in Chicken with Sweet and Spicy Sauce,0,18,19,22,0,Fried Chicken,Bone-in Chicken with Sweet and Spicy Sauce,"[18,22]",5,1
10,Cheese Fried Chicken Nuggets,0,17,18,21,0,Fried Chicken,Cheese Fried Chicken Nuggets,"[17,21]",5,1
11,Louisiana Assorted Seafood Rice,0,34,35,38,0,Rice,Louisiana Assorted Seafood Rice,"[34,38]",5,1
12,Coconut Cajun Crispy Chicken Rice,0,31,32,35,0,Rice,Coconut Cajun Crispy Chicken Rice,"[31,35]",5,1
13,Low-cal Low-fat Chicken Burger,0,31,32,35,0,Burger,Low-cal Low-fat Chicken Burger,"[31,35]",5,1
14,Crispy Chicken Burger with Sweet and Spicy Sauce,0,26,27,30,0,Burger,Crispy Chicken Burger with Sweet and Spicy Sauce,"[26,30]",5,1
15,Cheese Chicken Burger (original),0,24,25,28,0,Burger,Cheese Chicken Burger (original),"[24,28]",5,1
16,Cheese Chicken Burger (spicy),0,24,25,28,0,Burger,Cheese Chicken Burger (spicy),"[24,28]",5,1
17,Cajun Grilled Chicken Burger,0,22,23,26,0,Burger,Cajun Grilled Chicken Burger,"[22,26]",5,1
18,Salsa-inspired Pineapple Cod Burger,0,27,28,31,0,Burger,Salsa-inspired Pineapple Cod Burger,"[27,31]",5,1
19,Tiny Chicken Burger,0,18,19,22,0,Burger,Tiny Chicken Burger,"[18,22]",5,1
20,Fried Cheese Sticks,0,15,17,19,0,Snacks,Fried Cheese Sticks,"[15,19]",5,1
21,Fried Prawns,0,15,17,19,0,Snacks,Fried Prawns,"[15,19]",5,1
22,Cajun Grilled Wings,0,13,14,17,0,Snacks,Cajun Grilled Wings,"[13,17]",5,1
23,Cajun French Fries (big),0,14,15,18,0,Snacks,Cajun French Fries (big),"[14,18]",5,1
24,Cajun French Fries (middle),0,12,13,16,0,Snacks,Cajun French Fries (middle),"[12,16]",5,1
25,Cajun Mashed Potatoes,0,8,9,12,0,Snacks,Cajun Mashed Potatoes,"[8,12]",5,1
26,Sundae (mango orange/salt caramel),0,11,12,15,0,Ice cream & Sweets,Sundae (mango orange/salt caramel),"[11,15]",5,1
27,Cone (vanilla/chocolate),0,5,6,9,0,Ice cream & Sweets,Cone (vanilla/chocolate),"[5,9]",5,1
28,Louisiana Egg Tart,0,8,9,12,0,Ice cream & Sweets,Louisiana Egg Tart,"[8,12]",5,1
29,Strawberry Milkshake,0,20,21,24,0,Milk Shake,Strawberry Milkshake,"[20,24]",5,1
30,Chocolate Milkshake,0,20,21,24,0,Milk Shake,Chocolate Milkshake,"[20,24]",5,1
31,Mango Orange Milkshake,0,24,25,28,0,Milk Shake,Mango Orange Milkshake,"[24,28]",5,1
32,Grapefruit Longjing Milkshake,0,24,25,28,0,Milk Shake,Grapefruit Longjing Milkshake,"[24,28]",5,1
33,Mango Orange Sparkling Drink,0,14,15,18,0,Drinks,Mango Orange Sparkling Drink,"[14,18]",5,1
34,Coconut Banana Sparkling Drink,0,14,15,18,0,Drinks,Coconut Banana Sparkling Drink,"[14,18]",5,1
35,Coke,0,9,10,13,0,Drinks,Coke,"[9,13]",5,1
36,Coke Without Sugar,0,10,11,14,0,Drinks,Coke Without Sugar,"[10,14]",5,1
37,Orange Juice,0,11,12,15,0,Drinks,Orange Juice,"[11,15]",5,1
38,Lemon Tea,0,10,11,14,0,Drinks,Lemon Tea,"[10,14]",5,1
39,Special Bone-in Chicken (original) + Cajun Spicy Wings + Coke,0,31,35,42,1,Combos,Combo-1,"[31,42]",12,3
